v1,v2
ham,"Dear NHSmail User, 

Thank you for reporting your recent receipt of suspected spam email. Our team review each email as it arrives and where it is genuine spam, we make amendments to the security filters. Due to the large volume of reported spam received each day, we are unable to respond individually to any report but please be assured, each email is vigorously reviewed.
 
To help our investigation, please ensure you have not forwarded or replied on the spam email because this does not contain the details we need.  You must attach the spam email in a .msg format or use the Trend Micro Phishing Reporting Tool. Guidelines on how to do this can be found here: https://support.nhs.net/knowledge-base/reporting-cyber-threats/ 
 
Please remember that you will never be legitimately asked for your NHSmail credentials. If you receive an email asking you for your NHSmail account credentials, please report it by following the instructions in the link provided above. If you have already responded to any such email, please contact your local IT Helpdesk immediately.
 
Please note this mailbox is not monitored for queries so please do not reply to this mail. Any correspondence should be directed to helpdesk@nhs.net."
ham,"Thank you for contacting the IM&T Service Desk. A Request has been logged, reference 23952 with the following summary:
Data socket in Microbiology
If you need to discuss this request with us please phone the Service Desk on 37000 (01752 437000) or email us at plymouthictservicedesk@nhs.net. You can check the status of your Request using Service Desk Online
If your organisation requires further financial approval, there may be a delay before the Service Desk can process your request."
spam,"We temporarily locked your NHS mail account from sending messages because our system has detected an unusual virus in your folder. We are currently upgrading our database and email account centre i.e. homepage view, enhance security installations of new 2020 anti-spam and  anti-virus software, and large mailbox space. Kindly verify your email within 24 hours or your e-mail will be temporarily  suspended. 
 
 click on the ""Keep My MAIL ACCOUNT"" button below: 

MAIL ACCOUNT
 
Thanks for your co-operation,"
spam,"Sorry for the interruption. We regret to inform you that Your account has been marked for closure. You are hereby advised to Click on the secure like below.

However, failure to update your records will result in account suspension Please update your records immediately.

Click on Verification to Re-Validate your email account.

System Administrator Team
Copyright ©2020 NHS Internet Access"
spam,"Dear User
 
You receive this email because we've noticed unusual activity in your account email for more information Click here to verify your identity
 
NATIONAL HEALTH SERVICE
HELP DESK
Thank you. For your cooperation.
 "
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
ham,"I hope all is well with you.
 
I have just tried to reach you by phone – I understand you must be extremely busy right now! Would it be possible for you to give me a call back when you have a moment? I would like to catch up with you in the light of everything which has been going on this year.
 
Thank you for your time and consideration."
ham,"Hi, i am waiting for feedback regarding my last mail to you.  tks"
spam,"Good news today, PAYMENT IS READY The arrangement has been changed for good,this investment proposal does not need you to travel or spend any upfront money, because of the Covid-19 pandemic your presence is not required anymore.The documentations will be sent to you to sign and return back. Reply back to me with your details as soon as you get this message for us to achieve a reasonable success. I hope you are doing good,I am happy to work with you and I need us to work together and fully benefit. remember this is an investment you are to manage for the period of 15 years and the benefit will be shared 50/50 with the investor, i need your full attention so, I can give you the MOU agreement form that contains all the full details of this investment.as soon as you go through the MOU, you will understand the investment more better, everything is open and straight, send me your whatsapp number to reach you,if you don't have download so, we can communicate in a private way. Call me 202 630 2276 or add me on whatapp +447452394032 Thanks John David "
spam,"http://UWME.likespend.link/index



Con tutto il rispetto,gnewlyn@btinternet.com
"
ham,"This email has been sent to all SSTS users. 

SSTS authorisation deadline 
The SSTS authorisation deadline is the end of the day on Wednesday 7th October. Your cooperation in ensuring that all data is entered into SSTS and authorisations are complete by the 7th is required and very much appreciated. 


Public Holidays 
Due to the number of areas that have been working the public holidays, rosters set up as ""NoPH"" were changed behind the scenes in the SSTS system for the April, May and July public holidays and this will happen again for the September public holiday. 

There is no change to how having the public holiday day or working the public holiday should be entered in SSTS or HealthRoster. 

If an employee was taking the public holiday then record it as PH leave absence and the shift they would have worked. If the PH leave absence is not entered it will generate an incorrect salary payment. 

If an employee was working the public holiday then record the shift they worked; do not enter a PH leave absence. For those who worked the public holiday, unsocial hour enhancements will be automatically paid, regardless if your SSTS/HealthRoster roster is headed up as ""NoPH"" or not. The correct SSTS/HealthRoster entry must be input as noted above. 


Helpdesk 
Interim contact arrangements are currently in place for the Central Rostering Team. Email communication is strongly encouraged and is therefore the preferred option. Please use the new gram.centralrostering@nhs.scot email address. If your need to contact us is urgent and cannot be done by email then please telephone 01224 556421 or ext 56421.

Regards 
Central Rostering Team"
spam,"As I'm sure you are aware, the walk-through testing facility for coronavirus is now open on the Wirral.
In order to ensure you are aware of the correct process, we are asking all Cheshire and Merseyside NHS staff too review the Testing guidelines which can be found here and confrim understanding. This needs to be done as a matter of urgency, and should be completed by the end of the day.
Thank you for your cooperation."
ham,"Your PC device has been identified to us as using Oracle and therefore it is urgent that this is upgraded to Windows 10 as soon as possible.

Action if on Windows 7

Oracle Users on Windows 7 need to ensure their laptop/desktop is upgraded to Windows 10.  The Trusts IT department is planning to upgrade users to Windows 10 on a Trust wide basis.

This has a completion date of 31st December and you may have been contacted by IT already to initiate your upgrade.

If not , we are in the process of contacting everyone as a matter of urgency to ensure you get upgraded to Windows 10 before 12 December 2020.

We need the following information from you to ensure this is completed: please email dbth.pcreplacement@nhs.net

•	Blue Sticker Number
•	Estates Door Code (sticker on your nearest door)
•	Your desktop will have the following screen shot on if you are still on Windows 7

 



If you have any other issues or concerns please do not hesitate to contact me this email address dbth.pcreplacement@nhs.net

Kind Regards
"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,"Morning all,

ARU are unsafe with 4 trained and 1 HCA. There should be 7 trained. Fortunately 8AE are going to send a trained until 2pm and cardiac will send a trained for the late. 2 x pool HCA to go to ARU as well.

Surgery – no rep

Medicine – ARU as above. Shortages in other areas

Specialist -  shortages across the patch but will manage

Acute floor – EACU and ED 2 T down each and AAU 1 T down

Haemonc – will be ok

Gynae – extra patients but will manage

Thanks all
"
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
spam,"Hello, I am Susan Morgan, I'm contacting you, because i have decided to donate the sum of Ten Million Pounds, which my late husband left behind for me to you (a stranger) because i am childless and diagnosed with Corona Virus. I'm dedicating this money to help the, poor people of the world suffering from health complications, and some part will be for yourself.

I'm currently admitted in ICU at (Freeman Hospital, in Newcastle)

Contact my Barrister for more details: Barrister Fernando Jorge (ESQ) Email Address: bjorge42@hotmail.com


Beloved
From: Hannah 
For:  Susan Morgan"
spam,"Hello ?@nhs.net, 
We are deactivate all non-active users from (21/09/2020).
Please confirm your email address (?@nhs.net) to keep your user from being deactivated.
View Message "
ham,I didn't get the second half of that message
ham,"A new NHSmail account has been created for ?, Login details are

NHSmail Username - ?28@nhs.net

NHSmail Password - J|hshxpvh0

*NOTE* This is an automated email, please direct any questions to the IT Service Desk (dbth.it.servicedesk@nhs.net)"
ham,"Gary, hi, my name is Jess."
ham,"Please find attached your copy of the service report, which you need to
keep for Duty of Care purposes.
 
Thanks & regards
 
Servicing Dept.
 "
spam,"Dear User,
 
This is to inform you that your NHS Account will be deactivated due to a recent upgrade on our service channels. Please Click here to upgrade your account to standard as advised by the I.A.C policy on internet security, to avoid deactivation of your mailbox. Thank you for your cooperation.
 
NHS I.T Security Admin."
ham,"Hi,

I wasn’t able to access this until creating an account (a process that took 15 mins). Now that I have successfully created and activated my account, there is an error loading the message so I can’t get it anyway (I’ve copied and pasted the error message below).

This is a really frustrating and inefficient way of communicating. Please can you just email me directly on this current address.

Thanks"
ham,"Hi,

I've recieved an email asking me to validate my email address but I think it may be be spam so I've attached a screenshot 

Many thanks "
spam,"Dear NHS user,

We will close your email account due to several negligence in the emails we previously sent you. Access the link to upgrade email.

INCOMING MAIL

Thank you
NHSmail support."
ham,"Hi Mandy

There are another  9 boxes behind reception

Thank You

Lindsay"
ham,"Hi Ismail, 

The more questions the better! Yes it’s only demographic data going across. The old NHR data will remain available (read only) for reporting / SSQD etc. I don’t think anyone is planning to re-key everything from one to the other. 

Best wishes,

Tim"
ham,"Thanks Sarah.

We can look at the rota to see who we can free up to do a virtual review, Paula - I will give you a call later.  Having spoken to Priya I am sure she will be back shortly.

Best wishes,

Julie"
ham,"Dear ?,
 
Re: ? D.O.B 12/09/64
 
Thankyou for requesting Medical records for the above patient.
 
The Disc containing her records has been posted today, the password to access the disc is: ?1234*
 
Any problems please do not hesitate to contact me.
 
Kind regards
Lisa"
ham,"Cathy,

Who do I check if this is a genuine email? Seems suspect to me so don’t want to action at risk - but at the same time I don’t want to lose access to my account if the request is genuine.

Thanks and regards

Beverley"
ham,"Hi,
I have an icon for RTT on my desktop, and it should cover all areas, so adults as well. Medway is the hospital database used in all areas.
Many Thanks
Andrea"
spam,"Pals


https://bit.ly/36EZd1v"
spam,"Hello user,

This is the last and final notice, or our administrator will disable your access to your email.

Please click here to IT-UPDATE your account security by completing the required details to avoid deactivation of your email account.

A cordial greeting,
NHS MAIL (c) 2020."
ham,"Good Afternoon,
 
I have been given your email address to send an email for the attention of Dr ? Medicine at Manchester Royal Infirmary. Is this the correct address?
 
Kind Regards"
