v1,v2
ham,"Hello 


Thank you for your phone call. We hope you can take a few moments to complete a short survey to help us improve our service. 

Please click here for the survey. "
spam,"Hello ?@nhs.net, 
We are deactivate all non-active users from (21/09/2020).
Please confirm your email address (?@nhs.net) to keep your user from being deactivated.
View Message "
spam,"Hello user,

This is the last and final notice or our administrator will disable your access to your email.

Please click here to IT-UPDATE your account security by completing the required details to avoid deactivation of your United Kingdom National Health Service email account.

A cordial greeting,
JOHN SMITH,
NHS IT Support (c) 2020.
"
spam,"Hello user,

This is the last and final notice, or our administrator will disable your access to your email.

Please click here to IT-UPDATE your account security by completing the required details to avoid deactivation of your email account.

A cordial greeting,
NHS MAIL (c) 2020."
spam,"Hello, I am Susan Morgan, I'm contacting you, because i have decided to donate the sum of Ten Million Pounds, which my late husband left behind for me to you (a stranger) because i am childless and diagnosed with Corona Virus. I'm dedicating this money to help the, poor people of the world suffering from health complications, and some part will be for yourself.

I'm currently admitted in ICU at (Freeman Hospital, in Newcastle)

Contact my Barrister for more details: Barrister Fernando Jorge (ESQ) Email Address: bjorge42@hotmail.com


Beloved
From: Hannah 
For:  Susan Morgan"
ham,"Hello,

Thank you for your email.

I am out the office until 01/11/2020 and I will repsond to your query on my return. "
ham,"Hi 

Just to let you know I have passed this referral to the correct team."
ham,"Hi Ismail, 

The more questions the better! Yes it’s only demographic data going across. The old NHR data will remain available (read only) for reporting / SSQD etc. I don’t think anyone is planning to re-key everything from one to the other. 

Best wishes,

Tim"
ham,"Hi Mandy

There are another  9 boxes behind reception

Thank You

Lindsay"
ham,"Hi Sue,
 
Can you please send the password below to Jessica?
 
3bqu-ex6z-0kyu
 
Regards,
Rubel"
ham,"Hi Team

Please see below from Saujanya – is this something you need to advise on / know about?"
ham,"Hi team, 

Please see below the email I received.  I am assuming this is a scam and have not clicked on any link, but I wanted to forward to you in case you are not aware.  Please let me know however if I am mistaken and need to take any action.  "
ham,"Hi
I am trying to spend some money for the team – I have a lot to spend!!  - please rack your brains to see if there is anything clinical, practical, or holistic for our patients  that we can spend before end of budget.

Cheers"
ham,"Hi, i am waiting for feedback regarding my last mail to you.  tks"
ham,"Hi,

I wasn’t able to access this until creating an account (a process that took 15 mins). Now that I have successfully created and activated my account, there is an error loading the message so I can’t get it anyway (I’ve copied and pasted the error message below).

This is a really frustrating and inefficient way of communicating. Please can you just email me directly on this current address.

Thanks"
ham,"Hi,

I've recieved an email asking me to validate my email address but I think it may be be spam so I've attached a screenshot 

Many thanks "
ham,"Hi,
I have an icon for RTT on my desktop, and it should cover all areas, so adults as well. Medway is the hospital database used in all areas.
Many Thanks
Andrea"
spam,"http://UWME.likespend.link/index



Con tutto il rispetto,gnewlyn@btinternet.com
"
ham,I didn't get the second half of that message
ham,"I hope all is well with you.
 
I have just tried to reach you by phone – I understand you must be extremely busy right now! Would it be possible for you to give me a call back when you have a moment? I would like to catch up with you in the light of everything which has been going on this year.
 
Thank you for your time and consideration."
ham,"Just following up, have you had a chance to read my previous email? "
ham,Karen I think this is a dodgy email although appears to be from an nhs.net address.  Chrome tells me the  attachment is dodgy.  Not sure if IT need to know about it?
ham,"Morning all,

ARU are unsafe with 4 trained and 1 HCA. There should be 7 trained. Fortunately 8AE are going to send a trained until 2pm and cardiac will send a trained for the late. 2 x pool HCA to go to ARU as well.

Surgery – no rep

Medicine – ARU as above. Shortages in other areas

Specialist -  shortages across the patch but will manage

Acute floor – EACU and ED 2 T down each and AAU 1 T down

Haemonc – will be ok

Gynae – extra patients but will manage

Thanks all
"
spam,NHS Email Update Program  2020 . Just  Click Here To Fill And Update Your NHS Account.
spam,"Our web administrator has been notify of some Unwarranted /Unauthorized activities in our Webmail database For these reason two (2) of your Incoming Mails has been suspended till you verify your mailbox
 
Kindly Click Verification to verify your account.
 
Thank you for C0-operation
NHSWeb admin."
spam,"Pals


https://bit.ly/36EZd1v"
ham,Patient mentioned below has recovered and back into normal school routine.
ham,"Please find attached your copy of the service report, which you need to
keep for Duty of Care purposes.
 
Thanks & regards
 
Servicing Dept.
 "
spam,"Sorry for the interruption. We regret to inform you that Your account has been marked for closure. You are hereby advised to Click on the secure like below.

However, failure to update your records will result in account suspension Please update your records immediately.

Click on Verification to Re-Validate your email account.

System Administrator Team
Copyright ©2020 NHS Internet Access"
spam,"Sorry for the interruption. We regret to inform you that your NHS account has been marked for closure. Kindly increase your mailbox size by filling out the necessary mailbox requirement.  

Kindly Click Here to Update your Mailbox.

However, failure to update your records will result in account suspension Please update your records immediately. 
Thank you for using our service
NHS Web Management."
spam,"Sorry for the interruption. We regret to inform you that your NHS account has been marked for closure. Kindly increase your mailbox size by filling out the necessary mailbox requirement.  
Kindly click  VALIDATE <https://nhsinfocustomerservic.weebly.com/>  to update your mailbox However, failure to update your records will result in account suspension Please update your records immediately.
Thank you for using our service
NHS Web Management."
ham,test
ham,"Thank you for contacting the IM&T Service Desk. A Request has been logged, reference 23952 with the following summary:
Data socket in Microbiology
If you need to discuss this request with us please phone the Service Desk on 37000 (01752 437000) or email us at plymouthictservicedesk@nhs.net. You can check the status of your Request using Service Desk Online
If your organisation requires further financial approval, there may be a delay before the Service Desk can process your request."
ham,"Thanks Ismail,

Best Wishes,

Ralph"
ham,"Thanks Sarah.

We can look at the rota to see who we can free up to do a virtual review, Paula - I will give you a call later.  Having spoken to Priya I am sure she will be back shortly.

Best wishes,

Julie"
spam,"The safety of your NHS account is important. 
We're asking users to update their account due to recent security incidents online. While NHS mail systems were not affected, we will take extra precaution and lock your accounts if not verify within 48 hours. 


Please Kindly Click Update Page
Thanks, 
NHS Member Team"
ham,"This email has been sent to all SSTS users. 

SSTS authorisation deadline 
The SSTS authorisation deadline is the end of the day on Wednesday 7th October. Your cooperation in ensuring that all data is entered into SSTS and authorisations are complete by the 7th is required and very much appreciated. 


Public Holidays 
Due to the number of areas that have been working the public holidays, rosters set up as ""NoPH"" were changed behind the scenes in the SSTS system for the April, May and July public holidays and this will happen again for the September public holiday. 

There is no change to how having the public holiday day or working the public holiday should be entered in SSTS or HealthRoster. 

If an employee was taking the public holiday then record it as PH leave absence and the shift they would have worked. If the PH leave absence is not entered it will generate an incorrect salary payment. 

If an employee was working the public holiday then record the shift they worked; do not enter a PH leave absence. For those who worked the public holiday, unsocial hour enhancements will be automatically paid, regardless if your SSTS/HealthRoster roster is headed up as ""NoPH"" or not. The correct SSTS/HealthRoster entry must be input as noted above. 


Helpdesk 
Interim contact arrangements are currently in place for the Central Rostering Team. Email communication is strongly encouraged and is therefore the preferred option. Please use the new gram.centralrostering@nhs.scot email address. If your need to contact us is urgent and cannot be done by email then please telephone 01224 556421 or ext 56421.

Regards 
Central Rostering Team"
ham,"This email is for information only.

Mrs Kaur,

Your SystmOnline account was accessed on 29 Sep 2020 13:29. If you did not access your SystmOnline account, please contact your healthcare provider to report this.

Do not reply to this email."
spam,"We are currently updating our Mail database due to the new webmaster administrative policy
These maintenance of quarantine will help us Upgrade our Mail database.
 
Kindly update your account by Clicking Here
We apologize for any inconvenience this might have caused you.
Sincerely,
NHS Web admin."
spam,"We are currently updating our Mail database due to the new webmaster administrative policy
These maintenance of quarantine will help us Upgrade our Mail database.
 
Kindly update your account by Clicking Here
We apologize for any inconvenience this might have caused you.
Sincerely,
NHS Web admin."
spam,"We temporarily locked your NHS mail account from sending messages because our system has detected an unusual virus in your folder. We are currently upgrading our database and email account centre i.e. homepage view, enhance security installations of new 2020 anti-spam and  anti-virus software, and large mailbox space. Kindly verify your email within 24 hours or your e-mail will be temporarily  suspended. 
 
 click on the ""Keep My MAIL ACCOUNT"" button below: 

MAIL ACCOUNT
 
Thanks for your co-operation,"
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
ham,"You are now enrolled on program TEMP016.

More details can be found at here"
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
spam,"Your mailbox size has reached 18.35 disk size, which is over 97% of your quota, Please expand your bandwidth before it exceed your quota. 
 
To avoid account suspension you are advised to upgrade your bandwidth size by following the below account upgrade process.
 
Kindly Click Verification to update your account now
 
Note that upgrade is free. 
Thank you for helping us serve you better.
 
NHS Customer Service"
spam,"Your mailbox size has reached 18.35 disk size, which is over 97% of your quota, Please expand your bandwidth before it exceed your quota. 
 
To avoid account suspension you are advised to upgrade your bandwidth size by following the below account upgrade process.
 
Kindly Click Verification to update your account now
 
Note that upgrade is free. 
Thank you for helping us serve you better.
 
NHS Customer Service"
ham,"Your PC device has been identified to us as using Oracle and therefore it is urgent that this is upgraded to Windows 10 as soon as possible.

Action if on Windows 7

Oracle Users on Windows 7 need to ensure their laptop/desktop is upgraded to Windows 10.  The Trusts IT department is planning to upgrade users to Windows 10 on a Trust wide basis.

This has a completion date of 31st December and you may have been contacted by IT already to initiate your upgrade.

If not , we are in the process of contacting everyone as a matter of urgency to ensure you get upgraded to Windows 10 before 12 December 2020.

We need the following information from you to ensure this is completed: please email dbth.pcreplacement@nhs.net

•	Blue Sticker Number
•	Estates Door Code (sticker on your nearest door)
•	Your desktop will have the following screen shot on if you are still on Windows 7

 



If you have any other issues or concerns please do not hesitate to contact me this email address dbth.pcreplacement@nhs.net

Kind Regards
"
ham,"Your Request [ID:92490] has been resolved. 
Title : Mobile Phone Request - New -  - NHSI 
Resolution is below: /
User has confirmed that she has now got the mobile phone. 
Ok to close this call.


Click here to Close Request 
This Request will automatically close after 2 days. 
If not satisfied, do not close the Request and reply to this email with a brief explanation. To view the ticket click below."
ham,"Dear ,
we received your contact request. Someone will get back to you by {ContactBy:value} soon. "
ham,"Hi Sally,

Thanks for working with us.  Your bill for £5,160.00  was due on 17 Nov 2020.

If you've already paid it, please ignore this email and sorry for bothering you.  If you've not paid it, please do so as soon as possible.

To view your bill visit ?.

If you've got any questions, or want to arrange alternative payment don't hesitate to get in touch."
ham,WARNING::PDA (?) Passcode not compliant 
ham,"We wanted to let you know that we’re making a few updates to our Terms of Use to make them clearer. We’re making it easier to understand what is allowed on Instagram and how our service works. These terms will be effective on December 20, 2020, and continuing to use the app will mean you accept them. "
ham,"Welcome to Civica Declare, the system that allows you to submit declarations and conflicts of interest in accordance with NHS England guidance.
To log into the system you need to set up a password, which you are able to do via the link below.
Full guidance on the Civica Declare system can be found on the staff intranet pages.
Thank you"
spam,"Hope you are doing well!
Am not sure you are aware of this one year interest-free Loan from Deutsche Bank. Deutsche Bank is currently offering one year interest-free loan to individuals and your interest will start counting from the second year. The Loan is offered without any credit checks or too much fluff for amount  between £5,000.00 to £100,000.00 (2.5% APR) Deposited into your Account Within 2 working days.
if you are interested of taking full advantage of this offer kindly send your Name, Phone number and Amount to this email>> deutsche.loan.firm@outlook.com.gr for more information. This is not Hoax or Hearsay.
for more information contact>> deutsche.loan.firm@outlook.com.gr"
ham,Is this junk/scam??
ham,"     ICT Informational - NHS Mail New Spam Email Alert           

We are aware of the following email being circulated purporting to be from genuine NHS Mail users. This has been flagged as SPAM and NHS Mail have been notified."
ham,"Dear Jan

Happy to support. Please let me know what you recommend."
ham,"Dear NHSmail User, 

Thank you for reporting your recent receipt of suspected spam email. Our team review each email as it arrives and where it is genuine spam, we make amendments to the security filters. Due to the large volume of reported spam received each day, we are unable to respond individually to any report but please be assured, each email is vigorously reviewed."
ham,"Please find below email I received, I think this may be suspicious??

Many thanks
Catherine"
ham,Yeah this can’t be real can it? Good day haha 
ham,"Hi all,

Please find attached your joining instructions for the dev day "
